,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,行政助理,葫蘆文創包裝有限公司,2023/02/04,"1.基本文書處理。 
2.對電商銷售有興趣。 
3.基本市場行情調查。 
4.具學習熱忱。
5.三節獎金+中午供餐",嘉義縣,28000,30000,不拘,,高中以上,,,"Excel, Word","網路活動規劃與執行, 行銷宣傳預算編製與控管, 市場調查企劃與執行, 廣告企劃案╱文案撰寫, 廣告創意發想與提案",
0,行銷助理,葫蘆文創包裝有限公司,2023/02/04,"1.基本文書處理。 
2.對電商銷售有熱忱興趣。 
3.基本市場行情調查。 
4.熟電商各個平台操作為佳。
5.三節獎金+中午供餐",嘉義縣,28000,30000,1年以上,,專科以上,,,"Excel, Word","網路活動規劃與執行, 行銷宣傳預算編製與控管, 市場調查企劃與執行, 廣告企劃案╱文案撰寫, 廣告創意發想與提案",
0,機械技術員~無經驗可~工作穩定,億德玻璃股份有限公司,2023/02/04,"機械操作、搬運玻璃、玻璃加工(切割.研磨.強化.膠合.複層)
※ 機械科或電子科畢業佳


",嘉義縣,26400,40000,不拘,,不拘,,,,,機械或電機科畢
0,南區機械維修工程師,艾律德空壓機械有限公司,2023/02/04,"工作範圍: 台灣南部地區(嘉義、台南、高雄)客戶現場。必要時需支援其它區域。 

工作內容: 對於公司售出之設備進行試俥、例行性巡檢、修護保養、提供客戶空壓機操作技術諮詢...等售後服務。

發展/遠景：
本公司為美國離心式空壓機製造商 〝FS-ELLIOTT〝 在台灣、中國、以及泰國之代理商，設備使用客戶遍及電子科技製造業以及傳統產業。隨著全球電子及3C產業蓬勃發展的帶動下，本公司服務領域也隨之擴大，業績同樣的與之節節高昇。

成就/樂趣：
雖然是售後維修服務工作，但於技術培訓成熟之後，有機會外派其它國家成為駐地主管。對於有抱負、有理想的有志人士，這將是您成為跨國主管的前哨站。 

本公司外派人員享有額外津貼，除了薪資大幅增加之外，具有擔任跨國主管的實務經驗，對於不同國家的人文、風情、文化、法令、規章 . . . 等，您將比其他人更有機會了解，人生閱歷更加豐富，當然對於未來的工作選擇又更加多了競爭力。",嘉義縣,38000,39000,不拘,機械工程相關 汽車汽修相關 電機電子工程相關,專科、大學,,,"Windows 10, Excel, Outlook, Word","配電裝修維護, 電機設備保養修護, 電機設備操作, 機務維修保養, 機械產品故障排除檢修, 機械零組件使用, 組合裝配機件及安裝與校驗機械, 設備器材使用及維護","公司備有服務工程車，需具備汽車駕照。
能配合加班及國內外出差、抗壓性高，穩定性高、溝通協調能力佳，能獨立作業。
有機械設備維修經驗者尤佳。
其它說明：
需出差、技術成熟後需能配合外派"
0,平面設計人員,葫蘆文創包裝有限公司,2023/02/04,"1.商品平面設計
2.操作電商後台上架商品
3.完成主管交辦事項
4.具責任感及工作熱忱
5.三節獎金+中午供餐
",嘉義縣,28000,30000,1年以上,,高中以上,,,,,
0,J076-作業員(太保市),兆赫電子股份有限公司,2023/02/03,"1. 負責生產線機器、設備之操作，並維持機台正常運作。
2. 進行製造現場的作業員工作。


",嘉義縣,26400,28000,不拘,,高中、專科、大學,,,,,
0,M051-壓鑄技術員(太保市),兆赫電子股份有限公司,2023/02/03,"1.具鋅/鋁合金壓鑄或塑膠射出經驗者佳。
2.具半固態壓鑄製程經驗者佳。
3.無經驗者可,肯學習及接受公司培訓。
4.上下模具及簡易異常排除。
5.能吃苦耐勞、可配合加班輪班。
6.外縣市人才,可提供宿舍。",嘉義縣,28000,40000,不拘,,高中以下、高中、專科、大學,,,,,"
"
0,M049-壓鑄工程師(太保市),兆赫電子股份有限公司,2023/02/03,"1.具鋅/鋁合金壓鑄或塑膠射出經驗。
2.具半固態壓鑄製程經驗者佳。
3.熟壓鑄機台開機操作。
4.可獨立操作機台，並協助換模(上下模具)
5.產品和機台故障排除、架模及生產維護。
6.可掌握各種壓鑄機及周邊設備，現場調機調模，並以合理的效率生產出合格產品。
7.能吃苦耐勞、可配合加班輪班。
8.外縣市人才,可提供宿舍。",嘉義縣,40000,65000,1年以上,,高中以下、高中、專科、大學,,,,,"
"
0,營造工程師,立呈營造股份有限公司,2023/02/03,"1.需操作全測站及電子水準等外業測量工作。
2.協調工程事務與勞務。
3.協助主管進行調度工務行程、表單整理、進度跟催等工作。",嘉義縣,37000,42000,3年以上,測量工程相關 土木工程相關 景觀設計相關,不拘,,台語:中等,"Excel, PowerPoint, Word, AutoCAD","工程測量, 測量與放樣, 工程圖識圖與繪圖, 竣工圖說製作",具備手排汽車駕照
0,行動通信基地台工程/工程師/技術員(嘉義),威爾儀控工程有限公司,2023/02/03,"1、行動基地台建設/維護
2、通訊設備設備安裝
3、電力配管配線
4、維修及測試/障礙排除
5、電工/電子相關經驗尤佳
6、有經驗者尤佳
7、可配合外派支援尤佳
8、努力學習者無經驗可",嘉義縣,32000,45000,不拘,,高中以下、高中、專科、大學,,,,"電信設備安裝, 電信線路工程架設, 配電裝修維護",
