courseId,rating,feedbackTopic,feedback
A1,4,心得,程式範例多元 ! 但就於課程內容量和講義講解方式對初學者可能稍顯吃力，例如需要看完後面程式範例講解，才能理解前面某些的講義說明是甚麼意思。
A1,1,有很多地方（專有名詞）表達不清楚,有很多地方（專有名詞）表達不清楚（這個課程內容算是進階的，難度也是較高的）。
A1,3,Python 資料分析：AI 機器學習入門到應用,"1.    老師的上課模式會照著講義念，而且講義的內容大多為文字敘述，鮮有圖表。導致學生學習的當下，會不懂這段話到底想表達什麼意思？後面會有實例操作，也是逐行念過去，部分核心超參數也沒有解釋。覺得上課的效益等同於去書籍買書自修。
2.    個人認為可以解釋一些模型的原理，將原理以簡單的口吻解釋給同學聽，這邊給一個參考影片：『https://www.youtube.com/watch?v=Lms4cB57Nq0&ab_channel=PyInvest』。
3.    假如同學希望上完這堂課，能夠參加kaggle競賽並得到良好的leader board成績，或是想要餐與公司ML專案，那麼這堂課比較不適合您。
4.    上完這堂課，是否能考取TQC+證照？答案是肯定的，雖然課程內容比較難聽懂，但是TQC+考題固定且簡單，所以將考試題目不斷練熟，一定會通過！
5.    綜合授課方式、內容、時間以及費用，絕對值得3顆星，整體CP值偏中上。
「謝謝老師錄製這些教學影片」"
A1,1,完全不知道在做什麼,我十幾年前大學唸統計，碩士唸數學，理論都明白，是來學寫程式的。在上這個A.I課之前，我已經特意上了Python入門特訓 & Python爬蟲特訓，那位老師教得很好。然而，這個A.I.課真的不行－－理論講得太冗長，實例卻太簡陋，只是開著一大篇早已完成的程式碼逐行讀。我既不知道寫那程式的背景和目的，也不知道是跟著什麼邏輯怎樣寫出來的，又不知道當中一些程式碼的用法，還有各個參數的意思。非常抱歉，我一定要破例給個1星才行，因為真的完全學不到東西，好失望。
A1,5,Python 資料分析：AI 機器學習入門到應用,內容豐富，實例多
A1,5,內容豐富,實例多
A1,5,Python 資料分析：AI 機器學習入門到應用,課程內容充實，範例說明充足。
A1,5,讚,讚
A1,5,很棒且踏實的課程,老師不光只是舉例和講解程式語法，還介紹並說明理論基礎，加上老師的用語都很親切，讓我覺得透過這門課，了解什麼是「機器學習」、為什麼要學習它及它該如何應用，是很踏實的一個學習過程。
A1,5,很棒的課程,老師上的很棒很細心，雖然有點難，期待自己能一一突破問題。
A1,5,還行吧,內容豐富 講解細膩 就是和原先想像的內容不太一樣 原本預期的是更學術性或理論性的課程
A1,5,課程內容豐富多元,初完成購買，期待接下來的課程內容
A1,5,Python 資料分析：AI 機器學習入門到應用,"有點難,建議要先上Python基礎語法再上這堂課
但老師對模型應用介紹很清楚,參考課後練習會更有概念"
A1,4,深奧機器學習的入門課,這堂課讓我了解到機器學習強大之處，但可能是考量課程長度、時間、難度，所以很多複雜的程式都只能輕輕帶過。因為我是PYTHON入門初學者，看到不懂的程式碼會有些恐慌，會希望老師能再講解更詳盡一些。也希望老師能推薦進一步的學習管道，謝謝。
A1,5,感謝教學,雖然內容有點難，但老師講解很詳細，感謝教學!
A1,5,課程很棒,課程很棒，內容精簡易吸收
A1,5,課後結果之評價回饋,"曾經有上過Python 資料分析 - 網頁爬蟲與視覺呈現及Python 入門特訓 - 基礎實作到證照攻略但現在上本課程不會覺得很瓶頸，上課內容操作較熟悉，是為了要考取TQC+Python機器學習才上課的，我曾經上了很多AI&DATA課程，然後課程裡面的內容是我有熟悉過的函數與定義對於軟體安裝與操作得心應手，雖然是英文版軟體只要看得懂它的使用說明就不會研究斐然，對AI&DATA相關課程應試於在上專題與實作方式上課工人要做好工，必先磨好工具。
既然已經購買了此課程，我需要以身作則做好做出自己的未來潛能與本分，為自己能夠找出好的前途就地取材只是要給自己有所盡責。我對於課程老師所上船分享至googleclassroom的寶可夢練習有些執行不出來而做局部修改，但只是給自己試著思考練習看看會不會找出蛛絲馬跡或遺漏的，保持運行過目不忘也要於R語言及SQL一樣。
我上完課程、繳交作業後要寫課程評價時，開始寫感想我的腦袋就較難打開要如何重頭到尾寫出好的回覆，我需要花很多分鐘的時間想盡辦法給於自己的腦袋給動了起來、強行思考然後走來走去，不久之後要寫課程評價感想後時就覺得比較好了也能夠慢慢地寫出想要的話，這不過也只是暫時性或者是邏輯性，到最後就很努力得把它給做好這是一種堅持。
本課程是值得推薦上的一門課程，老師講課內容細緻精簡、每一段的影片剪接的很明瞭、章節製作分明讓學習閱讀者重複複習很方便、很容易整理且找得出艱澀難懂的問題講解與操作說明、然後每一道練習題都寫得很仔細、意猶未盡。相信自己我對這門課程未來能夠持之以恆的深入練習也必須能夠求職到相關工作。"
A1,4,none,none
A2,5,淺顯易懂，適合對資料分析師有興趣卻還不知道該如何入門的人,"課程安排循序漸進，逐步了解成為資料分析師需要知道什麼。老師教學簡單易懂，初學者不會有挫折感。
很棒的一堂課！"
A2,4,推薦無資料分析經驗者加入課程,老師非常用心準備了很多補充教材及學習資源，也經由8位經驗豐富前輩的訪談內容，更了解自己目前的不足以及該著手加強的部分，期許自己能確實執行行動方案，順利轉職為資料分析師。
A2,5,好有創意與接地氣的介紹與探討,真的初步的了解此行業的內容，謝謝
A2,5,對初學者相當實用的課程！,"在建構職業理解方面相當實用的課程，讓非該領域的學員也能初窺DA的樣貌。
個人很喜歡「驗證資料分析師的輪廓」內8位前輩的分享，非常具體地讓學員理解行業對candidate的期待、不同行業有不同要求又是什麼原因，是很有價值的討論！"
