courseId,rating,feedbackTopic,feedback
A1,5,真的太好用了,"喜歡這線上課的節奏和質感,製課很用心."
A1,5,真的很實用,平常有在自己的臉書社團做直播賣貨，上完了這課也試著照老師講解的做了些調整，試完效果和觀眾反應都還挺不錯的~這課不錯，推~
A1,5,我進入狀況了,"從趨勢分析到設備
從腳本到態度
從表達到曝光
老師講解的非常有趣
還不吝嗇提供實際經驗
這課上的太值了👍"
A1,5,上課心得回饋,"老師講話很有條理、清晰，很容易跟上老師的速度 掌握課程內容重點
也很喜歡每個單元最後的總結！很推薦"
A1,5,解說詳細，讓人了解直播時的各項要領及細節。,將直播過程的各種狀況予以各自解析，讓一位完全新手可以照著做，以及提供方向來研擬直播策略，省去了自我摸索及撞壁的挫折。
A1,5,推~,講師邏輯挺清晰的，內容也不錯，影片裡還有特地做了章節重點筆記，很用心的課程！
A1,5,出乎意料的受用,因為工作需要學習直播帶貨，也因為自己真的是這方面的門外漢，抱著姑且一試的心報名了這課程，結果發現出乎意料的受用！關於直播的技巧和設備需求還有直播時的口條，甚至一些小技巧小撇步，老師都用最簡單的方式讓我了解。課程中甚至涵括了直播市場的整體概念，這點倒是我預期之外的收穫，回公司跟我老闆開會也有更多的底氣(哈~)！總之，這課程挺值得的，也推薦給所有像我一樣愛講話的人，這是培養斜槓技能或第二專長的最佳入門課！
A1,5,滿輕鬆好理解的,"上課畫面很舒服,不會總是看到文字和圖片,課程輕鬆滿好理解的"
A1,5,實用的好課程,"課程輕鬆,容易理解,看完覺得對直播越來越有信心!
"
A2,5,PChome 電商大學：給初學者的行銷入門課,"對初學者來說淺顯易懂
有實際操作案子帶說明會更好
稍顯實際案子說明不足
但整體對初學者入手很推薦"
A2,5,PChome 電商大學：給初學者的行銷入門課,課程內容十分豐富，老師教的也非常前顯易懂，十分適合初學者學習。
A2,4,PChome 電商大學：給初學者的行銷入門課,"異業合作的單元舉了好幾個例子，讓觀看者能從合作源起、創意發想到實際執行有更深入的了解；但行銷提案的部分比較多都是講概念，缺少一些案例的示範。整體而言比較適合完全沒有相關背景，但想進入電商產業的人應該會很有幫助；但如果本身是商管學系的學生，但沒有電商工作經驗的，可能前兩個單元會比較有收穫。

老師很用心準備簡報，表達流暢清晰，希望未來還有更進階的課程。"
A2,5,課程簡單明瞭,課程內容簡單明瞭 且解說許多電商基礎 令人獲益良多
A2,5,很棒,想進入相關產業，這個課程有很多實務面！相當有用！
A2,5,給初學者的行銷入門課-評價,幫助建立基本行銷概念，通過舉例說明，更能清楚了解如何規劃執行。
A2,5,想進入相關產業，這個課程有很多實務面！相當有用！,買對了~
A2,5,十分實用,擴闊了思維及眼界
A2,5,PChome 電商大學：給初學者的行銷入門課評價,"課程內容由淺入深，講解清楚，非常實用，從基礎的提案內容到後續時程預算的考量，需要多方面涉略，才能完成完整的行銷提案。
"
A2,5,適合初學者的入門課程,"能讓初學者了解關於電商的基礎架構, 講解清楚易懂,簡報內容豐富用心~"
A2,5,內容清晰實用,"課程會分幾個不同的主題教學，每個主題都會請該領域的講師教學
投影片內容也很製作的很用心，內容很清楚"
A2,4,電商行銷基礎課程,該課程提供電商行銷基礎架構，希望之後有更深入及實用工具內容的進階課程。
A2,5,很值得購買的課程,如同他的標題入門課，內容大略是想從事相關產業的人多略懂略懂了，這門課程等於是把相關知識集結整理，並且帶上案例，來講解理論概念，像是跟學霸買筆記本一樣，整理的很好理解，而且還搭配圖文！！
A3,5,職場人必學的商業分析術課程非常完整,"課程內容精彩豐富、受益良多
老師非常專業，講課內容也清楚有條理"
A3,5,"""職場人必學的商業分析術""是目前台灣最與國際接軌的線上課程","1. 講師為在英國工作的台灣人，透過現時點的商業分析技術，舉例並分享外商在中國的執行專案。我認為有傳達到很好的國際化的思維。

2. 老師規劃的課程，架構分明，口條清昕且不卑不亢。聆聽與觀看的感受非常舒服自在。值得模仿與學習。

3. 小部份專業課程委由技術工程師教學分享，可信度高。"
A3,5,對有相關商業分析經驗的人來說，這門課非常有價值。,"因為本身有相關經驗，所以清楚講師講的內容都很務實、精彩。

不論是專案溝通，還是商業流程建立，
都很符合實際工作需求。

如果你跟我一樣，又和同事執行過商業專案、數據專案，
那這門課會是精神食糧與慰藉。"
A3,3,職場人必學的商業分析術,.
A3,5,搭配實際案例易吸收且有臨場感,"一開始是在搜尋相關資訊時，看到Monica老師的文章。閱讀完後覺得頗有收穫，於是報名了這堂課程。

上完課後，對於商業分析的觀念、商業分析的工作內容等都有更加確切的認識。對於想學習商業分析的我來說，是一門很棒的課程！"
A3,5,簡單易懂,很多舉例幫助瞭解
A3,5,商業分析術,利用課堂上的學習，製作PRD時我增加了一個流程來預覽客戶端或許有的情境，可使PRD更貼近客戶的操作流程。
A3,5,很棒,"老師利用範例實際帶入上課的理論,讓我們能更理解學習的知識理論該如何運用"
A3,5,搭配實例的教學方式更容易吸收,引用的例子非常適合用來教學，也適合學員自行延伸。
A3,5,深入淺出，透過例子更易理解,之前從臉書上看到Monica的文章就覺得很有收穫，報名完這堂課程，對於商業分析的概念和工作都有更明確的認知，對於日後想從事專案管理相關職缺的我來說，是個很好的學習機會與成長。
A3,5,授課內容清晰易懂、講師口條清晰，非常推薦給對商業分析有興趣的入門者,授課內容充實，講師以淺顯易懂的方式教授，並且使用非常多的案例分析，讓沒經驗的學員彷彿也能一起參與專案的分析及規劃，很值得收藏的一門課!
A3,5,調理清晰！深入淺出商業分析師的工作,課程有清楚專業知識領導與工作架構經驗的分享，推薦給對於初進商業分析師相關工作或是從事專案管理領域的人！
A3,5,超推薦,老師口條清晰，內容豐富，就算課程章節結束，依然會準備額外資訊分享，非常用心的老師。
A3,5,值的學習的一門課,內容深入淺出，讓我對商業分析師的工作內容，有進一步的了解。
A3,5,十分推薦,講義清晰，課程內容有系統！
A3,5,很有價值，非常推薦,老師口條清淅、邏輯清楚，即便在相關職業沒有經驗的新手也能簡易了解，能感受到老師的用心備課和無私相授。
A3,4,一次充分瞭解商業分析工作的樣貌,"老師很用心地將商業分析工作所涉及到的工作與階段清楚地呈現出來，並逐步解析每個階段所涉及到的工作要點與工具使用。
作為一堂入門級的商業分析課程，已經能夠讓學生對商業分析工作能有初步的了解與認識，課程裡也以老師接觸到的實際案例作為經驗分享，
對於想初步了解商業分析實作的朋友可以把握機會學習喔！"
A3,5,突破三觀,授課講師用自身經驗介紹身為一個商業分析師該做的事，怎麼做和為什麼要做。說實話第一次看下來還不太能消化，但這也表示內容非常充實而且是可以實際應用在工作上。
A3,5,推薦給想要一探究竟商業分析世界的人,"這門課以商業分析的流程為課程大綱，穿插老師在工作上的各種實際例子，我覺得學習很容易吸收。老師的講解也是淺顯易懂，以工作上遇到的例子做為課程內容和建議是很可貴的回饋，並介紹各種工具拆解一開始覺得很難想出解決辦法的問題，經由這些工具也幫助我抽絲剝繭找出問題所在。
老師對於作業的回覆很細心仔細，也會提供建設性的答案或是討論，是可貴的收穫。

"
A3,5,物有所值的課程,老師用深入淺出，平易近人的方式講解，也有實際的案例做分析，學生應該也可以聽懂，是很不錯的課程！
A3,5,超棒的課程,全部七個單元都上完了，覺得老師的知識與經驗分享都很深入淺出，真的很幸運上到這門課，收穫滿滿!
A3,5,獲益良多,"老師口條清晰、漸進式教導，
能夠輕易了解商業分析。"
A4,5,頭回上AI設計課程，整體不錯！,頭回上完完整一次的線上課程，整體感覺不錯，老師講解嗓音和影片清晰，主要對個人而言，比起內容繁複精細，更著重在實質上的吸收，此課程簡單易懂，適合新手，正評～:)
A4,5,講解仔細,從最基礎到進階老師講解都非常詳細，學到很多技巧，很值得上的一門課。
A4,5,對於llustrator這個繪圖工具 有更進一步的了解,"這堂課程對於本來只會使用一些些AI的我來說 真的幫助很大
老師將繪圖工具很有步驟及程序的教導 讓人學習起來很有系統及容易上手
最後還分享了很多很棒參考用的設計網頁
建議老師若再出課程可以針對使用工具標註繁體用語
(因為我是使用繁體的AI 剛開始時，不太習慣用語，多花了些時間尋找老師說的工具位置)
也可以多出點複合工具結合使用的作業 讓學生多多練習
謝謝老師"
A4,5,感謝老師的用心,在這堂課學到超多的，未來若有新課程還會繼續購買支持！
A4,5,不知道要選哪一門以拉課程，那就選這堂吧！,"喜歡這門課程！每上完一個單元就感歎一次老師講的好清楚！（很久以前有上過illustrator課程，但學習效果很不理想，上完課也無法產出作品.......）而且作品的配色、風格都是我喜歡的！跟著老師的課程安排，一個單元一個單元學下來，到中間我已經可以幫朋友繪製簡單的文宣；現在我可以自己修改電子文宣，不用苦苦求美編讓我插隊XD 
選擇這堂課程最大的困擾大概是工具名稱要自行轉換，然後有點小可惜的是沒有關於平面設計輸出前的教學（補漏白之類的），除了上述兩點，我覺得這堂課程可以有很多收穫！而且老師在問題討論的回覆都很詳細，我在繪製作業遇到的幾個問題，都是去問題討論爬文得到解答。
想學習illustrator又不知道該選擇哪堂課的同學，我力推這一堂課！"
A4,5, 待補上, 待補上
A4,5,棒,很實用 適合初學者
A4,5,很好玩,講解得很好懂，非常適合跟我一樣第一次接觸的人~
A4,5,課程詳細且實用,雖然有些功能用語不一樣要花點時間找，但整個課程內容很豐富，功能講解詳細，很適合新手扎實練習。
A4,5,獲益良多,雖然剛開始聽中國用語比較吃力，但是習慣之後就可以進入狀況。因為我本身沒有Ai繪圖基礎，所以先用快轉看完大部分的課程，了解整個大概之後，再針對需要的單元反覆觀看並且練習。再者，課程章節規劃的很好，單元命名也很清楚，當我想回去找某個概念時，很快就可以找到，老師很會教而且不廢話，推薦給其他也想學Ai繪圖的人。
A4,4,適合初學者,適合初學者
A4,5,老師講解非常仔細清楚、課程很棒！,"想學ai很久了雖然有自己上網找資料自學
但資訊都是很片段的，有種學的東西很零散的感覺
買了這堂課之後因為老師的設計插畫風格是我喜歡的
所以每天都很期待上課！
課程教學非常仔細，把各種功能幾乎都講解了一次
我是先用輕鬆的態度先把影片都看過一次
在平常自己創作的過程中，碰到問題時再隨時打開影片看
大概陸陸續續看了三次左右～覺得學到很多！
但買了課程最重要的還是要自己多練習，不然很容易忘記"
A4,5,課程內容很值得,"內容非常詳細也很多小技巧包括創作方法 很值得上的課程
上完後發現原來圖形可以這樣用 也可以用鼠標創造很多圖案出來"
A4,5,講解詳細，內容循序漸進 能讓初學者按部就班的學習,內容非常仔細 尤其是最後還有一些實際運用的課程 從草稿設計到成品的過程 非常實用!
A4,5,評價,"講解詳細，內容循序漸進
能讓初學者按部就班的學習"
A4,5,老師講解的真的很棒,"買過好幾堂線上課程, 上完老師的這堂課程才讓我完全理解並且可以實際應用, 超級感謝老師製作了這門線上課程~"
A4,5,謝謝老師的指導,"內容非常仔細
尤其是最後還有一些實際運用的課程
從草稿設計到成品的過程
非常實用!"
A4,5,不多說  就是5星,謝謝老師  用心詳細的指導  終於覺得有把AI學好ㄌ
A4,5,illustrator 入門：從形狀到美麗的向量插畫,獲益良多，感謝。
A4,5,課程實用,"由簡單圖形開始，製作到一個完整的插畫及海報，且將各種工具的使用技巧與應用都講解的清楚明瞭，
對於剛接觸illstrator的我來說收穫良多，實作上讓人很有成就感，謝謝老師。"
A4,5,實用且講解詳細!,老師講解超級詳細，只要仔細聆聽就一定看得懂
