,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,食時創新餐飲集團-電商行銷企劃專員（儲備幹部）,史坦利美式牛排 / 西班牙餐酒館 / 泰無敵泰式火鍋 / 金福越式河粉 / 依時海陸市集_食時創新股份有限公司,2022/10/28,"主負責旗下品牌電商『依時海陸市集』
https://www.cherehere.com.tw/
販售冷凍食材（海鮮、肉品、即食包等)

【職務說明】
1. 電商檔期活動規劃提案與執行
2. 競爭者市調分析、新產品搜尋接洽
3. 社群維護(FB/IG/LINE/EDM)
4. 電商前後台作業(上架/出單/廠商聯繫)
5. 行銷文案撰寫、美編設計
6. 餐廳行銷部分庶務性協助

【須俱備以下專業能力】
1. 電商後台操作經驗
2. 廣告投放執行與成效追蹤
3. 美術編輯(illustrator/Photoshop)
",新竹縣,0,0,1年以上,,高中、專科、大學,,,"Adobe Photoshop, Illustrator","網站企劃能力, 網路活動規劃與執行, 社群媒體經營管理, 廣告企劃案╱文案撰寫","請在面試時簡單提出電商行銷策略，請先參考依時海陸市集網站
應徵請附上作品集附件或面試時請㩦帶"
0,醫療器材產品專員(PM),元澤科技有限公司,2022/10/27,"1.醫療器材相關法規定期追蹤、更新。
2.醫療器材品質系統程序撰寫、品質系統文件維護。
3.針對新產品及欲開發產品進行研究。
4.須具備良好英文能力，可與國外原廠溝通聯繫。
5.蒐集統整醫學文獻能力，需具備生物醫藥學科類相關背景。
6.醫療器材產品優缺點整理，及競爭者分析。
7.須具備團隊意識、願意學習、具抗壓性。
8.主管交辦事項及其他配合事項。",台北市,30000,40000,不拘,,大學,,,"Excel, Outlook, PowerPoint, Word",,
0,"起薪36,000元 歡迎無經驗可接受培訓者 【樹林、土城、三鶯】",泰商歐迪摩有限公司台灣分公司,2022/10/28,"歡迎活潑開朗、對服務業有熱忱的你，一同加入我們的行列！
我們提供專業一對一培訓、優良及舒適的工作環境！
中秋、端午獎金（最高達0.5個月) + 年終獎金（高績效，高獎金）

【工作內容】
- 參與部門的推廣活動
- 瞭解客人對產品使用之感受、習慣、反饋、市場反應及成效
- 提供完善平台，簡單輕鬆、有效率地與團隊共同完成基本營運工作",新北市,36000,50000,不拘,,高中以上,,,,,
0,【總管理處】永續品牌溝通管理師/主任,(台泥)臺灣水泥股份有限公司,2022/10/26,"1.新能源專案市場趨勢研究及同業競品分析
2.專案執行與進度追蹤
3.專案分析與管控
4.執行公司主管交付之其他專案與任務",台北市,0,0,2年以上,一般商業學類 企業管理相關 國際貿易相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, PowerPoint, Word",,"1.中文撰寫能力佳，英文說寫精通
2.具財務分析、專案追蹤能力、良好之內外溝通與整合能力
3.配合海內外出差"
0,【資訊中心】SAP FI/CO 專案經理,公隆化學股份有限公司,2022/10/28,"本公司為布局在亞洲通路並具有工廠生產能力的集團公司，為強化競爭力已導入 SAP S/4 HANA並使用BO、HCM等相關模組，現因應數位變革進行組織調整，進行本職缺人員招募，招募職缺：SAP FI/CO 專案經理 ，工作內容與需求條件如下：
1.依據集團戰略規劃，制定ERP FI/CO模組實施計畫，確保公司營運系統成功上線、持續維運
2.依據公司年度規劃，制定部門工作計畫，並確保部門工作按計劃執行
3.持續性的流程改善、協助ERP操作者改變工作習慣與績效
4.根據公司內稽內控相關管理制度要求，執行、監督檢查相關工作，確保公司的ERP系統符合內稽內控運作與資訊安全

(職稱會依經驗做調整)",台北市,0,0,3年以上,,大學以上,,,SAP,,SAP R/3 FI/CO 5年以上經驗，具 SAP S/4 HANA 經驗尤佳
0,產品經理,數位通國際網路股份有限公司,2022/10/26,"1. 雲端服務產品規劃、包裝、定價、行銷與教育訓練
2. 新產品測試與技術支援
3. 支援業務團隊銷售公司產品與服務，需深入了解公司產品特點與技術優勢
4. 依據客戶需求，協助規劃資訊架構並撰寫規劃建議書",台北市,0,0,3年以上,資訊工程相關 資訊管理相關 市場行銷相關,大學,英文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,"Linux, Vmware, Security","專案溝通╱整合管理, 提案與簡報技巧, 產品介紹及解說銷售","1. 雲端服務相關領域工作經驗
2. K8s及AI相關技術
3. 須具備良好口語表達能力與簡報能力
"
0,Business Development Sr. Coordinator/Supervisor (Focus on Communication),美商賀寶芙股份有限公司,2022/10/28,"Position Summary: 
As TW Herbalife communication project lead:
1. Worldwide and APAC sales communication and coordination: must review and do proof reading for all translations. 
2. TW Leader/Member communication: must be good in organizing contents and with proper business manner to deal and interact with high pin distributors.
3. To expand and enhance the communications between external distributors and internal Herbalife by providing up-to-date, good quality, and accurate/ reliable information.
4. APAC Committee Communication calls coordination and conducting. 

Detailed Responsibilities:
1. Bridge with APAC Sales team, committee members and interpreters to conduct monthly calls. 
2.  For Worldwide/APAC event, translating/proofreading sales/business information from English to Chinese and prepare the flyers for member's communication with easy to understandable and good quality.
3. Coordinate current HOM/STS Training materials and translation to help members to move to next level and build substantial sales growth.
4. Contact with special guest and training coordination for national wide training.
5. Track program budgets, invoicing and reporting.
6. Collaborate with the in-house legal team/MPC to manage BD communication including asset and content distribution.
7. Support sales team's operations and processes.
8. Support event executions (physical and virtual), live streams, and so on.
9. Other ad-hoc assignments

SUPERVISORY RESPONSIBILITIES:
Assist line manager to execute BD related activities on time in full.
1. Providing the effective communication and information materials to member and other stakeholders
2. Good knowledge in the Herbalife Nutrition business to support the job and ensure good quality of communications.
3. Monitoring and tracking on the communication materials, and to manage internal staffs/high pin distributors related data and information.
4. Understanding sales and marketing strategy of Herbalife.
5. Working with supplier to get quotation and providing POs and agreements and track on them as per policy. 
6. Always maintain a positive relationship with co-employees and management and work with internal teams on the planning of sales communication
7. Able to meet the deadline in term of providing and distributing communication materials with good quality.
8. Able to perform any ad hoc duties as and when requested by the Management or his/her superior 
9. Supports BD event team during event period.",台北市,0,0,5年以上,,大學、碩士,英文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,"Adobe Acrobat, Excel, Outlook, PowerPoint, Word","專案時間╱進度控管, 專案溝通╱整合管理, 負責文件更新、發行、審核與跟催作業, 提案與簡報技巧, 研討會／講座活動規劃與執行, 顧客關係管理, 廣告企劃案╱文案撰寫, 教案╱教材翻譯","1. 5+ years of communications experience across direct selling industry, communications agencies, or foreign company.
2. Proficiency in Microsoft Office- Word, Excel, and PowerPoint.
3. Must be self-directed, organized, and detail-oriented as well as have the ability to multitask and work effectively in a fast-paced environment. 
4. Good project management and organizational skills with the ability to multi-task, schedule and plan across several ongoing projects.
5. Discipline and highly motivated performance contributor
6. Fluent to speak, read & write English.
7. Excellent written, verbal communication, and interpersonal skills. (This should include good editing, grammar, and proofreading skills).
8. Ability to organize, prioritize workload and meet deadlines for effective implementation.
9. Ability to solve practical problems and carry out responsibilities with minimum supervision.
10. Must be customer service oriented and able to be flexible especially dealing with local distributors.
11. Able to work in results orientated environment and meet tight deadlines.

"
0,產品PM,益網科技股份有限公司,2022/10/27,"職務目的：				
協助公司與產品規劃團隊共同如期如質的完成產品專案與銷售目標。						

關鍵任務：					
1.產品及應用規劃，與生命周期管理。                     
2. 專案時程管理與資源協調。                    
3. 定期市場分析			",新北市,0,0,3年以上,,大學、碩士,英文:聽 /中等、說 /中等、讀 /精通、寫 /精通,,,,"1. 熟L2/L3網路交換機或通訊產品者佳。
2. 詣SDN、網路管理軟體或雲端管理經驗者佳
3. 有FAE經驗者佳。"
0,[新竹] 品牌社群行銷夥伴,VERVE_鴻懿企業有限公司,2022/10/24,"本職缺因為擴編的需求，再次徵才
希望你對於健身有很大的興趣

這份工作主要內容:
1. 健身網紅合作評估、聯繫
2. Email/LINE@ 行銷文案撰寫
3. 品牌網站的客服訊息處理，包含官網、FB、IG
4. 異業合作企劃、聯繫、執行，像是運動相關賽事、場館等


公司品牌【VERVE】
VERVE 機能服飾，創立於大小事不斷的2020。
台灣機能布料全球頂尖，世界運動大牌的布料幾乎來自台灣，
VERVE 創立的初衷是希望使用最好的布料，做平實的價格。
讓台灣的健友們能享受最舒服、最好穿的機能服飾。

網站 
www.verve.com.tw
IG 
verve.tw

*應徵請您透過Email，我們不收104制式履歷
Email:  info@verve.com.tw
應徵請您""詳述""健身相關的經驗以及對健身產業(包含品牌、產品、賽事、網紅)的了解
，以及過去工作中文案撰寫的經驗，並附上履歷表

",新竹縣,35000,35000,1年以上,,專科以上,,,,,"1. 對健身產業有很大的熱情、熟悉健身產業產品、品牌、KOL、賽事等
2. 責任感、細心、聰明、思緒縝密"
0,品牌業務 ,趨浪遊艇_趨浪企業股份有限公司,2022/10/25,"1.接聽自來顧客來電並協助客戶需求與報價相關的問題。***無須自行開發陌生客戶。
2.品牌經營：以遊艇航班與義法點心資源學習:策動關鍵字策略、Google商家、IG經營與投放廣告。讓客戶自行上門，公司提供廣告成本。
3.負責部門相關文件之整理，建檔以及追蹤，於有效時間內回覆顧客信件。
3.依Case重要度，配合前往現場維護客戶關係。
***保障底薪+高額獎金
4.三節獎金+保障年終獎金1個月。2019年(疫情前)當年4個月
5.特休旅遊補助
6.業務出勤公司備有公司汽車。",台北市,32000,80000,1年以上,,專科以上,,,,,"公司主服務外商企業舉辦遊艇公關等活動並經營義法料理點心，工作內容挑戰且活潑。
如下為公司FB，您可先參考！如有興趣不仿前來面試，給彼此個機會共創雙贏！
船
https://www.facebook.com/media/set/?set=a.472129316132842.117504.242049872474122&type=3
官網
http://www.loungewave.com.tw
食
https://www.facebook.com/beautifullmemory/photos_stream
https://www.xn--djrptt7jto5a.tw/
如有任何問題或想進一步了解連絡
Mob,0986120099
Tel,02-2790-1370
Mail,janewu@loungewave.com.tw
本公司地址 台北市內湖區民權東路6段180巷6號5樓-4

此職缺:
1.具備普通小型車駕照者佳
2.積極、主動、負責！
3.因公司客戶均為外商企業客戶、高端豪宅個人，請審慎評估，非誠勿試!"
