,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,Bluetooth Software Engineer [#342779],Cypress Semiconductor_新加坡商賽普拉斯半導體股份有限公司台灣分公司,2022/10/25,"1. Implement and maintain Bluetooth/BLE software features for IOT and automotive products.
2. Bluetooth technical issue solving.
3. Work with the HW, FW, FAE teams in various locations for all aspects of projects.",台北市,0,0,3年以上,,大學以上,,,,,"1. MS in EE, CE, or CS
2. Software development, testing & troubleshooting skills
3. Knowledge of Bluetooth/BLE
4. Experience on Linux / Android / Windows programming is a plus
5. Experience on real-time OS (FreeRTOS / ThreadX) programming is a plus
6. Independent, self-motivated and willing to learn"
0,前端工程師 Frontend Engineer（可遠端）,索爾斯科技有限公司,2022/10/29,"必要技能Javascript、jQuery、HTML、CSS
具任一前端框架（Angular2、VUE、React）有實作經驗者。
熟悉Restful API協定，配合後端工程師規劃API架構。
- 熟悉基本 web 協定如 HTTP、REST、JSON 等。
- 熟悉 Git 版本控制。

",新竹縣,40000,9999999,不拘,,大學,,,"Github, HTML, JavaScript, CSS, ReactJS, AngularJS, VueJS","伺服器網站管理維護, 系統架構規劃, 軟體工程系統開發, 軟體程式設計, 網路程式設計, 資料庫系統管理維護, 資料庫程式設計, 資料庫軟體應用","1.學生可，但要自己找資料解決
2.一律現場面試，不在線上進行面試"
0,T5-MES軟體維運工程師 (海外),翔鑫堡工業股份有限公司,2022/10/26,"1. 負責應用系統之開發與設計
2. 現有系統之維護改善(MES, WMS, QMS...等)
3. 參與企業內部應用系統開發與維護 
4. 使用者教育訓練與操作問題解決或異常排除
5. 依系統分析之結果編寫程式、撰寫手冊及系統建置等文件檔案以及產出測試報告",越南,0,0,不拘,資訊工程相關 資訊管理相關,大學以上,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,"AJAX, Visual C#, MS SQL, Oracle, Fireworks, JavaScript, jQuery, CSS, AngularJS",,"擅長工具：(須滿足1~4其中一項)
1. Javascript、JQuery、AJAX、Bootstrap、CSS
2. Angular4以上
3. EEP(VS C#)
4. 資料庫應用系統的開發經驗,熟悉SQL語法

其他條件：
1. 熟VS C# MVC架構尤佳
2. 熟 Net Framework或.Net Core 尤佳
3. 熟MSSQL 或Oracle 或 SAP HANA尤佳
4. 對程式開發有興趣者、願接受公司完整培訓。
5. 應屆畢業生可。"
0,資訊設備專員,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,2022/10/28,"1. 作業系統與平台管理，包含Windows, AD, Exchange,  Storage, Backup, SAN, DNS, Spam, 與VMWare等。
2. IT日常作業管理(如：Backup/Restore, Security Update, Network Monitor….)。
3. IT專案支援。
4. 支援Helpdesk處理使用者IT相關問題及需求。
5. IT設備採購及IT資產管理。
6. 其它主管交辦事項。

《此職缺經常性薪資包含固定年終獎金》",台北市,0,0,3年以上,資訊工程相關 資訊管理相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,,,"1. 具IT相關證照者佳。
2. 成果與服務導向、主動積極、認真負責、樂於溝通並具團隊精神。
3. 三年以上企業個人電腦、伺服器、Windows作業系統與使用者溝通管理經驗。"
0,Technical Support Engineer 技術支援工程師(開發部),新加坡商鈦坦科技股份有限公司台灣分公司,2022/10/26,"我們是一個創新的部門，使用雲端環境架構

氣氛好待遇佳，工作環境媲美矽谷
正在尋找有熱情並且想持續成長的同伴

你對雲端運算服務有興趣嗎？
想學啊？ 我教你啊～
不過先說好，我也還不太會，那怎麼辦？

沒關係～加入我們一起學習吧！！！
一起Never Stop Improving～

【職務說明】
Technical Support Engineer的工作是排除第一線技術問題以維護產品的正常運作，並且擔任公司與客戶之間以及公司內部跨部門之間的橋樑。

工作內容：
1.工作採輪班制。（會配合補休，讓你好好休息的啦）
2.負責與客戶API介接相關環境設定與測試。
3.產品環境問題排除。
4.產品相關服務監控。
5.產品問題回報紀錄與追蹤。
6.產品全部為雲端服務環境。",台北市,40000,65000,不拘,,不拘,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,,,能以基本英文與客戶進行即時通訊(Skype)進行溝通
0,(Sr.)Site Reliability Engineer 網站可靠性工程師,紅石資訊有限公司,2022/10/25," 1、負責診斷和解決線上事故，網路回應延遲和應用回應延遲等問題。
2、日常分析軟體、網路、應用等監控資訊及時發現和診斷系統可靠性問題。
3、與開發團隊緊密協作，故障排查，解決應用和服務的問題。
4、使用Jenkins、Ansible、Gitlab等，完成生產環境的持續部署任務。
5、負責遊戲運維工作，諸如日常維護、故障定位恢復等。
6、持續的創新和優化能力，提升業務SLA，健壯高可用架構。
7、編寫適合運維的Shell、Python腳本。

加分條件
1、三年以上運維工作經驗
2、工作積極主動，有獨立思考能力，可承擔較大的工作壓力。
3、對產品架構及業務有一定優化的能力，可獨立完成產品的日常維護工作。
4、可熟練使用公有雲私有雲環境進行作業，熟悉CDN及DNS工作原理並且可熟練部署常用CDN。
6、對高可用、容災有一定見解，熟練使用Nginx、Tomcat、MySQL、Redis、Zabbix、Ansible等常用應用程式。
7、熟練使用Shell或Python語言進行腳本編寫。
8' 瞭解容器化，懂得K8S工作原理。

*上述條件非都必備,須熟悉linux,其他看情況可培養",台北市,80000,9999999,不拘,,大學以上,,,,,
0,Engineer Touch Engineering (Firmware Engineer)  靭體工程師（Touch）,外商_台灣和冠資訊科技股份有限公司,2022/10/25,"• Feasibility study/ test of new product requirements on the early concept stage to reduce the risk during the development stage.
• Development & verification of touch & pen firmware to meet or exceed customers' product requirements with on time delivery.　
• Replicate customer claimed issues, analyze / debug / resolve the problems during and after the product development stage. 
• Thoroughly document design information including the product documents to be provided to customer and suppliers.
• Proactive, continuous activity to acquire advanced technologies that may be applicable to Wacom products.　
• Provide technical advice to the FAE / PM / Sales team where the need arises. 
",新竹縣,0,0,1年以上,,專科、大學,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,,,"• Bachelor degree 
• Minimum 5 years relevant experience in C programming language and ARM/ MCU development environment 
• Professional knowledge and technical skills in sensor-related and pen technologies
• Creative thinker and interested in new technologies and IT trends
• Experience in managing industrial design projects is a plus
• Good interpersonal and communication skills 
• Good leadership skills and self-motivated 
• Pro-active, diligent and a good team player

"
0,JAVA 軟體工程師 JAVA Software Engineer（可遠端）,索爾斯科技有限公司,2022/10/26,"1. 網站後台系統開發與修改
2. API服務程式開發與修改
3. 對 JavaSE 有完整的開發概念(OOP、Exception Handling等)
4. 技術文件檔撰寫
5. 前端技術基礎了解
6. 熟悉使用 Git, Github (issue tracking, PR, review)
7. 熟悉 RDBMS 資料庫 (MySQL、MS SQL、PostgreSQL)",新竹縣,60000,9999999,不拘,,大學,,,"Linux, Java, MySQL, HTML, JavaScript, CSS","伺服器網站管理維護, 系統架構規劃, 軟體工程系統開發, 軟體程式設計, 網路程式設計, 資料庫系統管理維護, 資料庫程式設計, 資料庫軟體應用","1.學生可，但要自己找資料解決
2.至少了解一年JAVA/mysql開發經驗
3.具備linux環境使用經驗尤佳
4.熟悉Ｍysql等資料庫和SQL编程语言
5.具RESTful API整合經驗尤佳
6.一律現場面試，不在線上進行面試"
0,"Staff Software Development Engineer in Test, Data","Kloudless, A Netskope Company_科迪股份有限公司",2022/10/28,"<What this role entails>
You will be part of a growing team of industry experts in the exciting space of Cloud Analytics. Your contributions will create a high impact in the industry and our customers through our products. You can shape Data Engineering at Netskope!

<What will you be doing?>
- You will be writing tests for our big data workflows;
- You will help us validate the ingestion pipelines and query platforms, work closely with the Data Engineers to optimize and test data infrastructure and platforms for massive scale. 

<Qualifications/Requirements>
- 5+ years of experience
- Solid test automation experience in Python, Go, Java or any other language
- Good understanding of data structures and algorithms and excellent programming skills
- Experience in API testing and testing microservice based architecture
- Expert in test plan and test case documentation
- Good understanding of data ingestion pipeline and data querying services
- Experience with Docker or container management platforms like Kubernetes
- Working knowledge of SQL and/or no-SQL datastores like Elasticsearch, MongoDB,Postgres, Big Query Good Understanding of DB Internals
- Strong verbal and written communication skills
- Bachelor’s / Master’s degree in Computer Science or a related field",台北市,1800000,9999999,5年以上,資訊工程相關,大學以上,英文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,"Java, Python, Go, MySQL","軟體工程系統開發, 軟體程式設計",
0,網頁前端工程師,萬家源有限公司,2022/10/24,"本職缺之招募分2階段：
1、資歷符合者通知面試；
2、面試通過之後，需經過專業能力實作測驗。
需要兩階段皆通過才予以錄用。 
若您同意再投遞履歷，資格不符者恕不另行通知。

【條件需求】
1、精熟 HTML、CSS、JavaScript，並有Wordpress網站維護經驗
2、按規格文件進行切版、前端模組和元件測試
3、有美感sense、著重細節、心思細膩，掌握設計與應用頁面架構和布局  
4、有熱忱、自主學習力強、善於溝通，持續找到更好的解決方案

【工作內容】
1、公司品牌網站的新頁面建置與舊頁面維護
2、掌握設計細節，優化網頁互動及動態效果
3、掌握RWD跨平台、跨裝置(包括平板)的最佳瀏覽體驗
4、網頁跑板或呈現有誤時，能快速找到錯誤並修正
5、與團隊成員(企劃&設計師&後端)密切溝通合作

【薪資福利】
月薪40k~60k，表現優異，每月另有績效獎金5%~20%。",台中市,40000,60000,3年以上,資訊工程相關 資訊管理相關 藝術商業設計,專科、大學、碩士,,,"Git, HTML, JavaScript, jQuery, CSS, ReactJS, VueJS","作業系統基本操作, 資料備份與復原, 軟體程式設計, 網路程式設計, 網路應用軟體操作, 網頁軟體操作, 網頁語法撰寫","1、應徵本職缺，請註明您的【期望待遇/月薪】!  
2、若無前端工程師實務經驗1年以上，請勿投遞，謝謝您!
3、若資歷不合適恕不另行通知，請勿重複投遞。"
